Estimator,AngleStdDeg,MeanM,RmsM,MedianM,Percentile90M
Least squares,6,49.3752923967416,60.0400067590594,42.5548990004505,91.2222181017738
Auxiliary variable,6,33.1766655449181,37.6163368698443,30.97844304491,57.2794877576746
Least squares,3.6,29.6987588174716,35.879541563557,25.3528948851114,55.9415418866407
Auxiliary variable,3.6,19.9326455385172,22.6213653801167,18.5976133253525,34.48625936886
